rand = 631, rand_cv = 7957
rand = 6755, rand_cv = 4057
rand = 7152, rand_cv = 146
rand = 1659, rand_cv = 3555
rand = 1034, rand_cv = 9367
rand = 7701, rand_cv = 7541
rand = 8971, rand_cv = 555
rand = 9229, rand_cv = 8136
rand = 4200, rand_cv = 9576
rand = 9756, rand_cv = 3765
rand = 3941, rand_cv = 198
rand = 9792, rand_cv = 4057
rand = 9438, rand_cv = 6813
rand = 9536, rand_cv = 4530
rand = 616, rand_cv = 1681
rand = 3815, rand_cv = 198
rand = 8508, rand_cv = 7541
rand = 876, rand_cv = 8136
rand = 4772, rand_cv = 5831
rand = 103, rand_cv = 3057
rand = 9649, rand_cv = 8211
rand = 4064, rand_cv = 5835
rand = 4651, rand_cv = 5835
rand = 2796, rand_cv = 8177
rand = 4929, rand_cv = 8002
rand = 3112, rand_cv = 7091
rand = 270, rand_cv = 9219
rand = 9458, rand_cv = 3366
rand = 2738, rand_cv = 9910
rand = 619, rand_cv = 27
rand = 2932, rand_cv = 8002
rand = 1915, rand_cv = 1681
rand = 9830, rand_cv = 5831
rand = 249, rand_cv = 3032
rand = 6159, rand_cv = 1096
rand = 6003, rand_cv = 6600
rand = 774, rand_cv = 2556
rand = 2499, rand_cv = 9693
rand = 4864, rand_cv = 8406
rand = 6081, rand_cv = 9284
rand = 7567, rand_cv = 2152
rand = 4014, rand_cv = 9367
rand = 2949, rand_cv = 1096
rand = 8579, rand_cv = 7834
rand = 2789, rand_cv = 7541
rand = 5002, rand_cv = 6785
rand = 1084, rand_cv = 3456
rand = 9378, rand_cv = 408
rand = 2111, rand_cv = 8799
rand = 7077, rand_cv = 408
rand = 7077, rand_cv = 7416
rand = 1696, rand_cv = 7475
rand = 7605, rand_cv = 6785
rand = 4385, rand_cv = 3838
rand = 2223, rand_cv = 9151
rand = 3226, rand_cv = 1891
rand = 1184, rand_cv = 5270
rand = 4215, rand_cv = 676
rand = 8646, rand_cv = 4459
rand = 8748, rand_cv = 4057
rand = 7115, rand_cv = 8909
rand = 3271, rand_cv = 1435
rand = 1465, rand_cv = 1758
rand = 5293, rand_cv = 1560
rand = 4741, rand_cv = 9234
rand = 6272, rand_cv = 9576
rand = 7812, rand_cv = 4024
rand = 4303, rand_cv = 1791
rand = 8704, rand_cv = 5583
rand = 2870, rand_cv = 8752
rand = 7354, rand_cv = 6723
rand = 1233, rand_cv = 4695
rand = 7417, rand_cv = 7516
rand = 2441, rand_cv = 9640
rand = 982, rand_cv = 2895
rand = 1460, rand_cv = 4143
rand = 3926, rand_cv = 8350
rand = 5264, rand_cv = 1246
rand = 1749, rand_cv = 5831
rand = 9662, rand_cv = 8243
rand = 6569, rand_cv = 9219
rand = 4015, rand_cv = 3360
rand = 4566, rand_cv = 1947
rand = 3860, rand_cv = 3590
rand = 5038, rand_cv = 3555
rand = 9191, rand_cv = 3855
rand = 5404, rand_cv = 3344
rand = 646, rand_cv = 9989
rand = 9737, rand_cv = 4057
rand = 3998, rand_cv = 8639
rand = 4567, rand_cv = 9936
rand = 5381, rand_cv = 3256
rand = 3544, rand_cv = 9390
rand = 7104, rand_cv = 1790
rand = 3337, rand_cv = 7159
rand = 5051, rand_cv = 9326
rand = 9184, rand_cv = 7936
rand = 2393, rand_cv = 7438
rand = 5123, rand_cv = 7242
rand = 1715, rand_cv = 6785
rand = 599, rand_cv = 7475
rand = 2500, rand_cv = 9274
rand = 1129, rand_cv = 6354
rand = 6779, rand_cv = 3765
rand = 4886, rand_cv = 4236
rand = 1041, rand_cv = 9010
rand = 7551, rand_cv = 7091
rand = 4701, rand_cv = 278
rand = 5929, rand_cv = 3148
rand = 4136, rand_cv = 5892
rand = 245, rand_cv = 8845
